roi_folder,imaging_row,display_construct,display_fluorTag,display_fluorOrganelle,display_organelle,display_fluor,mount_orientation,birthday,age_tiff,n_tiffs,n_tiffs_cama,n_tiffs_camb,n_tiffs_cam2,n_tiffs_unknown_cam,mom_transgene,dad_transgene,injected_plasmid,injected_rna,linkage_class,construct_source,tg_display,display_constructs,display_fluors,display_organelle_treatment_aware,display_fluors_treatment_aware
Aang_Foundation/20250911_mem-mito/fish2_48hpf_roi2,direct_105,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250911_mem-mito/fish2_48hpf_roi3,direct_105,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi1,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi2,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,248,208,8,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi3,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,410,364,14,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi4,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,410,364,14,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish2_72hpf_roi1,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,410,364,14,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish2_72hpf_roi2,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,248,208,8,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish2_72hpf_roi3,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish2_72hpf_roi4,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,410,364,14,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi1,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi10,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,356,312,12,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi11,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi12,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi2,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,410,364,14,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi3,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi4,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi5,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi6,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi7,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi8,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi9,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,410,364,14,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi1,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi2,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,356,312,12,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi3,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,248,208,8,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi4,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,248,208,8,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi5,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,356,312,12,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi6,direct_104,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/9/25,,410,364,14,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi1,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,302,260,10,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi2,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,302,260,10,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi3,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,248,208,8,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi4,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,410,364,14,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi5,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,248,208,8,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish2_72hpf_roi1,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,410,364,14,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish2_72hpf_roi2,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,302,260,10,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish2_72hpf_roi3,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,264,224,8,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi1,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,302,260,10,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi2,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,464,416,16,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi3,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,356,312,12,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi4,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,464,416,16,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi5,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,302,260,10,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi6,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,464,416,16,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi7,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,248,208,8,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish5_72hpf_roi1,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,285,224,8,0,53,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish5_72hpf_roi2,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,356,312,12,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250915_mem-mito/fish5_72hpf_roi3,direct_103,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,DH,9/12/25,,410,364,14,0,32,,pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250917_mem-mito/fish1_48hpf_roi1,direct_101,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/15/25,,359,314,12,0,33,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250917_force_101,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250917_mem-mito/fish1_48hpf_roi2,direct_101,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/15/25,,252,212,8,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250917_force_101,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250917_mem-mito/fish2_48hpf_roi1,direct_101,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/15/25,,356,312,12,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250917_force_101,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250917_mem-mito/fish2_48hpf_roi2,direct_101,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/15/25,,302,260,10,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250917_force_101,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi1,direct_101,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/15/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250917_force_101,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi2,direct_101,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/15/25,,464,416,16,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250917_force_101,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi3,direct_101,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/15/25,,410,364,14,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250917_force_101,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi4,direct_101,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DH,9/15/25,,356,312,12,0,32,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250917_force_101,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
